device_id,now-5h,now-4h,now-3h,now-2h,now-1h,now,now+1h,now+2h,now+3h,now+4h,now+5h
28C2DDDD400A,,,8.9932604116,7.5288341263,4.552946987,4.769230769231,3.8063737134,4.6390251468,4.2152703257,4.2434642239,4.1528083797
28C2DDDD4149,,,3.9970046274,0.0,0.0,1.166666666667,0.0,0.0,0.0,0.0,0.0
28C2DDDD41A0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28C2DDDD4239,,,25.9036646043,17.7046331263,15.3438115639,14.0,12.7311370273,15.7349715174,14.243428588,14.357220675,14.0423909099
28C2DDDD423C,,,0.0,0.1664538158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28C2DDDD4378,,,25.2310917102,21.3060884117,21.025172021,20.666666666667,18.8666351594,20.2337675745,19.1034368315,18.9859287351,18.6876667625
28C2DDDD44B2,,,23.8987568345,18.2843114495,14.320870747,14.545454545455,12.2104389033,14.5178264168,13.319411956,13.364861661,13.0984372894
28C2DDDD455E,,,12.1575557416,9.4878674959,6.8723080988,5.583333333333,5.4240108019,7.4463087546,6.5823131237,6.6891366016,6.5187491773
28C2DDDD458A,,,20.2575461796,17.9770120974,14.8333842381,15.153846153846,12.8011289251,14.3572035386,13.2811616632,13.2895598697,13.0408476955
28C2DDDD4599,,,21.1508161532,16.747814689,13.0011427946,11.923076923077,11.2544207839,13.3493617609,12.3295635193,12.3438342253,12.109970597
28C2DDDD459F,,,18.5694173313,15.697875236,17.0988489594,15.583333333333,14.108991054,17.4037473178,15.7165508628,15.8549613424,15.5016723678
28C2DDDD4785,,,15.8342875623,11.9846747316,9.6962533686,8.615384615385,8.4950791898,9.8497773885,9.1558650662,9.1467854162,8.9821515237
28C2DDDD47A4,,,20.7344615045,17.3624133932,12.4483450783,11.75,11.7347620234,11.7870194531,11.4390688407,11.2666055383,11.1348721863
74DA38B05080,,,49.9990608344,47.6408448398,48.4050437542,49.0,48.0731835926,45.6135880965,44.7606698115,44.096151697,43.5863599844
74DA38B0522C,,,39.1531107148,37.1995825379,36.89016959,41.166666666667,35.2184852781,34.0990112986,33.4374997775,32.9275945256,32.5374099025
74DA38B0539E,,,45.9991359677,42.4543434,42.7959223534,45.307692307692,41.5109531059,39.9996096144,39.2465853083,38.6587597542,38.2081103634
74DA38B053A4,,,46.1657995037,45.0557650475,45.5044856227,45.5,43.8059258021,43.0144079593,42.2061395936,41.5804759365,41.1005960905
74DA38B053B8,,,41.8325475647,42.3862897509,43.5018640558,31.083333333333,41.0622773936,42.0528335249,41.2387615341,40.6350889844,40.1728755958
74DA38B053BC,,,54.5823080775,51.5720779937,50.0623814301,58.75,48.6026783322,46.6078322632,45.6888511477,44.9942139599,44.4633930281
74DA38B053C2,,,41.8325475647,36.6059252872,36.1072396016,39.75,34.6102395343,33.6918135768,33.0485682789,32.550801467,32.1694381561
74DA38B053D6,,,50.8323785148,45.0649453071,45.6842595751,49.916666666667,44.9376164435,42.5035446468,41.6924873133,41.0630943528,40.5809445173
74DA38B053D8,,,46.3324630399,42.535199208,43.2071422402,47.583333333333,42.272021076,40.6089263596,39.8469073941,39.2535137665,38.7984463899
74DA38B053E4,,,23.6619048708,22.9950216821,19.4230214406,11.583333333333,17.3776958494,16.2425856096,15.3611663799,14.639557372,14.0408325056
74DA38B053EA,,,44.2084386415,45.804892614,46.7272655544,40.25,41.7335137418,40.2580102792,39.9383737331,39.8814229674,39.8711491881
74DA38B053F4,,,26.6613012629,27.993939439,23.6334602696,14.0,20.4417804836,19.3819543372,18.3051509797,17.4401935442,16.7223510754
74DA38B053F8,,,25.9947687313,26.1481851903,23.6235184089,15.416666666667,20.6283953388,19.2581866025,18.1922736267,17.3298050228,16.6171667453
74DA38B05400,,,42.2899072367,44.0090832558,47.2935261199,34.916666666667,41.7335137418,38.8038235961,38.4957328568,38.4408392481,38.4309365748
74DA38B05402,,,47.5327568606,50.3887253527,54.3354924275,38.5,51.8203962144,44.3909619048,44.0385109604,43.9757135382,43.9643850363
74DA38B05404,,,46.3552990784,48.2676725129,53.0036828624,36.333333333333,48.2994372389,41.7534087306,41.4218991686,41.362832946,41.3521775434
74DA38B05406,,,32.8132065736,34.2810560703,35.4364531875,24.083333333333,33.3406115317,30.6615556499,30.4181120798,30.3747368842,30.3669121046
74DA38B0540A,,,43.858668614,46.3763197717,50.1951288298,34.25,45.5064697812,40.6936775446,40.3705819309,40.313014851,40.30262989
74DA38B05410,,,43.776646461,44.6840884254,49.3989256981,39.166666666667,40.9635227133,39.492648867,39.1790890614,39.1232210099,39.1131425495
74DA38B05418,,,42.5180390663,44.7453760258,47.9774299932,34.0,45.4887007575,39.4161127259,39.1031605942,39.0474008142,39.0373418857
74DA38B05428,,,47.1237330754,54.3374194192,59.1637495527,36.363636363636,64.3096506958,43.3824856911,43.0380417459,42.9766709588,42.9655998184
74DA38B05450,,,44.5824959105,41.0224483774,41.3565420147,41.75,39.444367155,38.4414935956,37.7157678419,37.1476727516,36.7122710162
74DA38B05452,,,39.9159168995,41.7507672938,43.3810275171,53.083333333333,44.7879706547,41.8211324336,41.0319951256,40.4336746673,39.9747202003
74DA38B05454,,,37.0826367854,35.0575399917,36.0058134804,35.5,35.0857181494,33.7608910963,33.1242670026,32.6292089858,32.2496398931
74DA38C7CE94,,,44.2462895244,39.1956381225,34.5487380776,25.333333333333,27.5516789815,29.036634498,28.8060923153,28.7650158051,28.7576057028
74DA38C7CEA4,,,26.6661657784,25.4950522028,25.7066899581,27.818181818182,24.3686374875,23.238677966,22.7878957952,22.4339955916,22.1635052201
