device_id,now-5h,now-4h,now-3h,now-2h,now-1h,now,now+1h,now+2h,now+3h,now+4h,now+5h
74DA3895E076,,,,,22.427982,,20.004503,,,,
74DA3895E098,,,,,8.448202,,3.9151056,,,,
74DA3895E0A8,,,,,13.019137,6.0,7.550788,,,,
74DA3895E0AC,,,,,39.503185,27.0,31.365845,,,,
74DA3895E0E0,,,,,25.592794,11.076923076923,15.158792,,,,
74DA3895E0E2,,,,,31.211866,43.25,27.195704,,,,
74DA38A7794E,,,,,17.702065,,14.092773,,,,
74DA38AF4712,,,,,2.053199,10.0,1.4893317,,,,
74DA38AF4718,,,,,31.060722,27.916666666667,28.996866,,,,
74DA38AF471C,,,,,36.667713,40.416666666667,38.520226,,,,
74DA38AF471E,,,,,21.463423,,17.264208,,,,
74DA38AF472C,,,,,19.14779,,16.46752,,,,
74DA38AF472E,,,,,7.527142,,7.056547,,,,
74DA38AF4730,,,,,21.030455,,14.573588,,,,
74DA38AF4734,,,,,17.880472,15.833333333333,8.637775,,,,
74DA38AF473C,,,,,12.95528,,11.112785,,,,
74DA38AF473E,,,,,11.656253,,10.261617,,,,
74DA38AF4742,,,,,13.216492,13.583333333333,5.988189,,,,
74DA38AF474A,,,,,4.6615367,30.0,3.3233063,,,,
74DA38AF4758,,,,,31.54578,,19.94843,,,,
74DA38AF475E,,,,,0.002349359,0.0,0.0044012815,,,,
74DA38AF4768,,,,,32.62702,30.833333333333,28.78031,,,,
74DA38AF4770,,,,,24.50763,,19.350742,,,,
74DA38AF4772,,,,,8.2416935,5.416666666667,5.838729,,,,
74DA38AF4780,,,,,21.596437,,17.126865,,,,
74DA38AF478A,,,,,11.203407,17.692307692308,12.662286,,,,
74DA38AF478E,,,,,16.508488,,14.700643,,,,
74DA38AF4792,,,,,18.613987,24.769230769231,19.599146,,,,
74DA38AF4798,,,,,19.00321,6.153846153846,12.314449,,,,
74DA38AF47A2,,,,,1.3091502,3.0,1.0220579,,,,
74DA38AF47A4,,,,,23.861385,16.333333333333,19.418493,,,,
74DA38AF47AA,,,,,18.830072,13.75,15.586532,,,,
74DA38AF47BA,,,,,17.570213,,15.608138,,,,
74DA38AF47BE,,,,,32.02355,21.25,26.31106,,,,
